Cluster,cluster_rank,composite_score,Session_Summary_original
0,1.0,0.7128153990512782,"we started with the equation y=f(x) (for fluid flowing in pipe) where we have the values of the inputs (i.e. flow values) and output (temperature). earlier people used to derive the relationship between the inputs and the outputs empirically using mathematical formulations.
but now we have many machine learning algorithms which can give us the relationship:
1. slr -> simple linear regression
2. mlr -> multiple linear regression
3. logistic regression
4. random forest
5. k-means clustering
6. hierarchical clustering

then we discussed about the 4 levels of measurement:

1. nominal: eg - gender, color
    the data in this level of measurement can only be classified into different groups. there is  
    no ordering and the data is discrete.
2. ordinal: eg - grades
    this is also discrete like nominal but has an inherent order associated with it.

for working with the data we encode it by assigning the labels some values (like male-1, female-2, etc.) which is fundamentally wrong as we are completely ignoring the values of the assigned numbers.
instead, we can use one-hot code for the labels which acts as a switch making only a single value 1 and rest of them to be zero. for example, if we are classifying images of animals then for an image of a monkey the values will be [dog-0, cat-0, monkey-1, horse-0].

3. interval: eg - temperature, ph, credit score
    the data in this level of measurement is continuous. zero here is arbitrarily defined and  
    has no real meaning.
4. ratio: eg - height, weight, salary
    this is also continuous but here zero has a meaning in this level of measurement.

both nominal and ordinal levels are discrete and they fall under the classification ml category whereas interval and ratio fall under the regression category.

in the equation y=f(x), y are the labels and x are the features.

1. supervised learning: when we have both labels and features it is called 'supervised 
     learning'.
2. unsupervised learning: when we only have features and no labels it is called 
    'unsupervised learning'. 
    in this we use the features to group data into clusters and then on the basis of their 
    similarities we can define their labels and then predict the correct group for any new x.

at last we looked into the population for our data is too large that either we don't have access to all the population's data or we can't normally process such a large data.
so we take samples from the population to get the data with the aim being getting as close as possible to the whole population."
0,2.0,0.7060653002926077,"first of all we learnt about names of different types of techniques like slr which is simple linear regression, multiple linear regression ,logistic regression, random forest, k means clustering and hierarchal clustering we learnt about their names only first. whatever type of ml technique we use we will always get generic equations of type y=b0+b1x1+b2x2.....
there are four different levels of measurement: nominal, ordinal ,interval and ratio. we learnt about each of them in brief: nominal like gender and colour, we can only categorise them there is no ordering, we can only create a count from them .we can't calculate mean median mode .measurements are always discrete in this category. then comes the ordinal level of measurement for example grades aa , ab like that.this is also for discrete values .assigning numbers like 1,2 is wrong as 'b' will have double value then 'a' so we use encoding like 1and 0 -giving values. then we have the interval level of measurement which is used for measuring continuous values and it is used where zero has any arbitrary function like temperature. the last is ratio which is again used for measuring continuous but in this zero has a meaning like height weight or salary. then we learned that in y =f(x): y is the label and x is called features. supervised learning is when we have both labels and features available. phenomenal and ordinal levels of we use classification and for interval and ratio level of measurement we use regression. when why is not known then we use unsupervised learning under which comes k means clustering and hierarchical clustering like we have only x and which is spreaded into clusters and from that we try to predict y using some ml techniques. the last thing we learned was the difference between sample and population sample is the data we have access to and population is the total amount of data and however the large amount of data we have access to it is always the sample for us and never the population."
0,3.0,0.6967466736342409,"so today's discussion start with two types of machine learning model which is supervised and unsupervised. for example supervised ml includes - simple linear regression, multiple linear regression, random forest and unsupervised ml includes k-means clustering and hierarchal clustering. the most fascinating things is that whatever type of ml we will use always get a generic equation - y(x)=b0 + b1x + b2x2 .....
further ahead we have learnt about 4 levels of measurement -
1) nominal - it have discrete values and we can only categorize them. also there is no ordering between them. example - gender, color
2) ordinal - it also have discrete values and work same as nominal level of measurement. example - grades
3) interval - it have continuous value. the concept of 0 is arbitrary in this case. example  temperature
4) ratio - it also have continuous value. in this measurement 0 has a meaning. example - height, weight, salary
 in case of nominal and ordinal we use one-hot encoding to change words into numbers by making vector.
we learned that in y =f(x) where y is the label and x is called features.
when we have both labels and features then we use supervised learning and when we have only features then we use unsupervised learning method. nominal and ordinal are use for classification purpose whereas interval and ratio are use for regression.
second thing what we learnt today about data. in ml we use sample instead of population.
sample is a small chunk of population.
that's what we have learnt today."
0,4.0,0.6849210075056358,"ds 203 15 january, 2025 (3rd lecture)
sir started by talking about y = f(x). he first talked about old and new methods of data analysis. for this he took the example of finding the temperature difference between the two ends of a pipe using the flow rate of the fluid flowing inside the pipe. y was the temperature difference denoted by delta-t and x was the flow rate.
in the old methods we used to get the equation relating y = f(x) like dt = l23, while in the new methods we get data points and obtain a plot of the curve which relates temperature difference with the corresponding flow rate.
then he talked about the methods that we use for obtaining the plot which are:
1.	slr â€“ simple linear regression
2.	mlr â€“ multiple linear regression
3.	logistic regression
4.	random forest
he also mentioned k-means clustering and hierarchical clustering.
then he said that there are two paths which are machine-learning and the other one is statistics, in this course we would frequently move from one path to another to get the assigned task done.
he then started talking about levels of measurement. there are four levels of measurement:
1.	nominal (discrete): for example, gender, color, etc. 
to explain, in this if two people have different gender no one is superior the other, all of them are equal.
2.	ordinal (discrete): for example, grades
but now how would the computer identify these (here, gender) as distinct because we need to associate some number with each grade for the computer to recognize them.
but if we assign numbers like male -1, female-2 and so on then we are doing something that is fundamentally wrong because we are attaching higher value to one of the them whereas, they should be equal.
in order to take care of this issue we use vectors and use them as a switch. it would be difficult to show that it here but sir has drawn that very nicely in his notes (uploaded on moodle).
example: dog [1 0 0 0]
3.	interval (continuous) for example, temperature
sir said that scale on which we are measuring will not create any issues.
4.	ratio (continuous) for example, height, weight, salary
y is known as label and x is known as feature.
supervised and unsupervised learning problems
a problem in which we know both the values of the label and the features is known as supervised learning problem.

then sir defined a function 
monthly-purchases = f (salary, month of year, size of family, etc.)
then he talked about the ml categories about each of the level of measurement: 
nominal â€“ classification
ordinal â€“ classification
interval â€“ regression
ratio â€“ regression
then he talked about unsupervised learning in which we donâ€™t know the value of labels associated with features.
there is hierarchical and k-means clustering. then he explained clustering by using a graph between features.
it is difficult to explain the flow chart (on page 9) in sirâ€™s notes but it is quite clear by looking at the flow chart.

we take a representative sample out of the population in order to save time and money for data analysis.
larger the value of the population more accurate is the prediction."
0,5.0,0.6838813761702949,"in this lecture we started by looking at how results were used to be predicted earlier, without any ml models. people used to collect data, through experiments and observations and then by using those x and corresponding y values they used to manually fit the data into some curve/relation which could then be used to predict future values.
but with the advent of ml algorithms, the need to manually determine relations has vanished and we can use various available ml models to fit relations among collected data and the model can predict any future values fed to it. some of these algorithms include- linear and multiple regression, random forests, etc.
next, we studied about the 4 levels/scales of measurement- nominal, ordinal, interval and ratio.
the nominal level categorizes the labels qualitatively into groups, which donâ€™t have any specific order. we can use frequency distributions to analyze this class of labels. also, since in nominal level, we do not consider ordering, it is incorrect to represent the values in terms of single numerical values. instead, we should use a vector which will have only one value as â€˜1â€™ and others â€˜0â€™ depending on which category the label y belongs to.
next, we talked about ordinal level which is associated with a specific sequence. the example we considered that of grades. grades have a specific order of importance but the interval between these is not fixed/defined.
the interval level consists of values that have equal intervals but the absolute zero for the measurements is not defined. in this level also, order matters. we discussed the example of temperature in celsius or fahrenheit scales. in these scales the 0 value is not absolute. so, we can just compare the difference between two values of temperature and comment on which one is hotter, but we cannot comment on the ratio of temperatures.
ratio class has an absolute zero defined and at this value it means that there is complete absence of that measurable. we considered example of height and weight here. so, heights of two persons can be compared and we can comment about the ratio of their heights. (eg. we can say a person with height of 5 ft is twice as tall as the one with height of 2.5ft.)
nominal and ordinal levels consist of discrete data, whereas interval and ratio levels contain continuous data.
next, we talked about supervised and unsupervised learning models:
supervised leaning models are the ones in which we feed the complete data, consisting of both the features and labels, based on which the ml model determines the future values. it uses classification or regression techniques for the same.
in unsupervised learning, only the x values are given based on the various x values (features) the machine learns by itself and makes clusters of values with similar features and assigns labels to each, after which it can predict futures values, based on the determined relations.
we use k-means clustering and hierarchical clustering algorithms for the same.
so, the ml models try to determine the function â€˜fâ€™ which relates y and x as y=f(x), based on available data.
we can always collect a sample of the entire population of data to develop these models. 

"
1,1.0,0.8107313347076374,"feature encoding techniques

during this session, we reviewed several techniques used to transform categorical data into numeric representations, which is an essential step in getting data ready for machine learning models. the discussion began with the introduction to feature encoding techniques such as vectorization techniques and utilization of one-hot encoding, label encoding, integer encoding, binary encoding, frequency encoding, and target encoding.

one-hot encoding:
one-hot encoding converts categorical features into vector where each category has a separate column. one-hot encoding is particularly helpful when encoding the input features (x) in the case of multiclass or multilabel problems. one-hot encoding is less ideal for encoding target variables (y). one of the primary disadvantages of one-hot encoding is that it can cause the curse of dimensionality. for example, if you have a variable such as pincode with thousands of distinct values, applying one-hot encoding will lead to a dimensionality explosion, making the dataset sparse and computationally intensive.

label encoding vs. integer encoding:
label encoding gives each category a specific integer. the method is well-suited to encoding target variables (y), especially for classification tasks, but may not be suitable for input features where the model may mistake the numerical ordering as an ordinal relationship. on the other hand, integer encoding is used when the target variable is naturally ordinal instead of nominal, such that the order of the categories holds important meaning.

binary encoding:-
binary encoding, or pseudo one-hot encoding, offers a more compact representation compared to one-hot encoding. by converting categorical values into binary code, a few columns (for example, three columns) can represent multiple classes (up to eight classes in this example). this method helps mitigate the issue of high dimensionality while preserving the distinctiveness of each category.

frequency encoding:
frequency encoding substitutes each class with its frequency in the dataset. while it reduces the representation, it is not necessarily good for target variables because two classes can have the same frequencies, causing possible loss of useful information.

target encoding:
target encoding allocates to each category the target variable's mean for that category. target encoding can be especially useful when there is high correlation between the target variable and the categorical feature. however, caution needs to be exercised to prevent data leakage while training the model.

simplification strategies:
tackling complicated regression questions by converting them into classification questions using methods such as feature binning is common. also introduced briefly was converting text into numeric vectors through vectorization methods as a key step in handling unstructured data.

in general, the suitable encoding method is determined by the type of data, if the variable is utilized as a feature or target, and possibly the effect it may have on dimensionality. every approach has its strengths and weaknesses, and the proper choice is critical to constructing efficient and effective machine learning models."
1,2.0,0.7881254346284066,"feature encoding. when either the dependent variable or some of the independent variables are categorical then, they have to be appropriately encoded prior to being used for training ml models. the project will be related to assessment of exercises which we have done. label encoding, one hot encoding, binary encoding, integer encoding, frequency encoding, target encoding. multiclass problem- mnist dataset- there are 10 classes(0-9), multilabel problem- there are multiple labels associated with a single object, a image with both cat and dog. how we encode a variable depends on domain knowledge. label encoding- take categorical variables and assign numerical values to these values-this for nominal variable. we can use label encoding to encode output variable, but we should avoid using it on input variable. integer encoding is for ordinal variable- the numbers carry a value and have a meaning. one hot encoding- converting the output into a vector of dimension of number of classes. this increases the number of columns in data and introduces the curse of dimensionality. they choice of encoding depends on number of classes. one hot encoding can be used for nominal variables and classes are not too many. binary encoding- it is just a different notation of one hot encoding. we are converting vectors in one hot encoding into binary values(pseudo one hot encoding).  frequency encoding- the category values are replaced with its frequency in the column. class takes on value of occurance we have to check whether two classes have same frequency. target encoding- we collect all y values corresponding to a particular class take their average and use this to represnt x in input. this is used to encode the input variables. for encoding input variables, we can use one hot encoding generally. for output variable encoding we can use other techniques. eda is important as if we are not able to capture what data is properly we will not be able to perform the further processes correctly.  we need to think multiple times before applying a particular encoding. feature binning- many times we want to convert a continous problem to a discrete problem. we will divide the continous variable into bins and then assign categories to this. this now becomes a classification problem. it can be used for several reasons including problem simplification, reducing the impact of outliers and noise in the data, handling non linear relationships. how to process text data- natural language processing(nlp)- examples of the manner in which statistical processing can generate deterministic output- code generation. how to convert text into numbers so that analysis is useful. method1- drop the common words(stop words); convert to lower case. - create a dictionary. -express the document using the dictionary. in a sentence we cant know exact meaning until we know the context in which it is being used as each word might have multiple uses. "
1,3.0,0.7589550773359499,"today we started the discussion with feature encoding methods. when either of the dependent or independent variables are categorical we have to use feature encoding techniques to convert them into numerical forms with which we can work with. 
one hot encoding method creates columns which are equal to the number of unique categorical labels in the original data and fills each of these columns with respective true(1) and false(0)  values. this method should be used very cautiously as it increases the dimensionality of the data significantly and becomes cumbersome to work with. for one hot encoding treated data, the classification models should be tree based or neural network based as logistic regression cannot handle such data. to overcome the curse of dimensionality of one hot encoding we can follow another method which is similar to onh but uses bits instead of true or false values to encode the categories for example for categories of weather related data like hot, very hot the encodings can be 001 and 011 respectively. other most widely used data encoding method is label encoding in this integers are allotted to different categories present in the columns this is best suited for nominal scale entries of the columns as in this method there is no ordering of the integer values that is for example red:1 and blue:2 does not mean that blue is greater than red and its also important to note that this method works well for y and using this method for encoding x features must be avoided. integer encoding is another type of encoding which is very similar to label encoding but the only difference is the integer values have a sense of ordering and thus is suitable for ordinal scale valued columns. frequency encoding uses the number of occurrences of  particular category in a column and sets as the label for that particular category should only be used for features and not target variables, because there might be possible that two different categories might have same frequency but this issue some how doesn't affect the feature variables and thus can be used. target encoding this also used for encoding the feature variables where for a particular category all the corresponding y values are noted and then average of these noted values is set as the category label. we then discussed feature binning where the features with continuous values in discretised by making bins or categories so that the regression problem can be converted into classification problem , such conversion might be very useful when the actual data variance is very high and the r squared value of the regression model is very low. began discussion about processing text and how the text data is converted into numerical data which can be used to do some useful analysis. the common stop words are removed and dictionary of all the other words is made and a vector is associated to each sentence of the document based on whether the given word from the dictionary made is present in that particular sentence or not."
1,4.0,0.7520674004678659,"in this session, we explored various feature encoding techniques, essential for converting categorical and textual data into numerical representations suitable for machine learning models. initially, we discussed vectorization and one-hot encoding. vectorization is a general approach to transform textual or categorical data into numerical vectors. one-hot encoding specifically converts categorical variables into binary vectors, creating separate columns for each category. this method is widely used in multiclass and multilabel classification problems but can introduce the curse of dimensionality when dealing with variables having many unique categories.

we then examined label encoding and integer encoding. label encoding assigns each categorical class a unique integer value. while this method is straightforward, it implies an ordinal relationship between categories, which may not always be appropriate. integer encoding is particularly useful when the categorical variable represents ordinal data (categories with a meaningful order), as it preserves the inherent ordering.

due to the limitations of one-hot encoding, such as increased dimensionality, we introduced binary encoding (compact encoding). binary encoding efficiently represents multiple categories using fewer columnsâ€”for example, just three columns can encode up to eight distinct classes. this approach helps mitigate dimensionality issues while retaining meaningful category distinctions.

additionally, we covered frequency encoding and target encoding. frequency encoding involves assigning each category a numerical value based on its frequency within the dataset. target encoding replaces categories with values derived from the target variable (such as the mean target value for each category), effectively capturing relationships between categories and the outcome variable.

finally, we briefly touched upon methods for converting textual data into numerical vectors through vectorization techniques, setting the stage for deeper exploration in future sessions.
"
1,5.0,0.7477981312568588,"in todayâ€™s class, we covered different techniques for encoding categorical data. we started with feature encoding, where we learned about one-hot encoding and vectorization. one-hot encoding is useful for categorical data, but it can lead to the curse of dimensionality when the number of unique categories is very large. vectorization, on the other hand, helps convert text data into numerical form, which we only touched on briefly toward the end of the lecture.  

we also explored label encoding, which assigns a unique integer to each category. however, if the labels have a natural order (making them ordinal rather than nominal), using integer encoding would be more meaningful. for multiclass and multilabel problems, different encoding approaches may be required depending on the complexity of the data.  

binary encoding was another method we discussed, where each category is converted into a binary format, which helps reduce dimensionality â€” for example, three binary columns can represent up to eight classes. we also learned about frequency encoding, where the frequency of a category is used as its encoded value, and target encoding, where the encoding is based on the relationship between the category and the target variable.  

overall, the session introduced us to the challenges and trade-offs involved in different encoding methods and gave us a basic idea of how to handle text data through vectorization."
